Measure,Value,Relationship,First Update,Last Update,Treatment,Seed
Resource Transfer Rate,9.398211532098868e-06,Channelmate 0,262144,262400,resource-even__channelsense-yes__nlev-two,1004
Mean Source Stockpile,2.382882402032446,Channelmate 0,262144,262400,resource-even__channelsense-yes__nlev-two,1004
Resource Transfer Ratio,3.944036204722602e-06,Channelmate 0,262144,262400,resource-even__channelsense-yes__nlev-two,1004
Relationship Frequency,0.4013671875,Channelmate 0,262144,262400,resource-even__channelsense-yes__nlev-two,1004
Total Resource Shared,6.129010625129128,Cell Child,262144,262400,resource-even__channelsense-yes__nlev-two,1004
Relationship Incidence,808840.0,Cell Child,262144,262400,resource-even__channelsense-yes__nlev-two,1004
Total Source Stockpile,2076404.1585290544,Cell Child,262144,262400,resource-even__channelsense-yes__nlev-two,1004
Resource Transfer Rate,7.577531557698838e-06,Cell Child,262144,262400,resource-even__channelsense-yes__nlev-two,1004
Mean Source Stockpile,2.56713831972832,Cell Child,262144,262400,resource-even__channelsense-yes__nlev-two,1004
Resource Transfer Ratio,2.951733894745503e-06,Cell Child,262144,262400,resource-even__channelsense-yes__nlev-two,1004
Relationship Frequency,0.2194118923611111,Cell Child,262144,262400,resource-even__channelsense-yes__nlev-two,1004
Total Resource Shared,46.21018518369709,Nondirect Propagule Relative,262144,262400,resource-even__channelsense-yes__nlev-two,1004
Relationship Incidence,3686400.0,Nondirect Propagule Relative,262144,262400,resource-even__channelsense-yes__nlev-two,1004
Total Source Stockpile,6508891.3478432475,Nondirect Propagule Relative,262144,262400,resource-even__channelsense-yes__nlev-two,1004
Resource Transfer Rate,1.2535314991237276e-05,Nondirect Propagule Relative,262144,262400,resource-even__channelsense-yes__nlev-two,1004
Mean Source Stockpile,1.765649779688381,Nondirect Propagule Relative,262144,262400,resource-even__channelsense-yes__nlev-two,1004
Resource Transfer Ratio,7.099497386743135e-06,Nondirect Propagule Relative,262144,262400,resource-even__channelsense-yes__nlev-two,1004
Relationship Frequency,1.0,Nondirect Propagule Relative,262144,262400,resource-even__channelsense-yes__nlev-two,1004
Total Resource Shared,40.20121502377733,Related Neighbor,262144,262400,resource-even__channelsense-yes__nlev-two,1004
Relationship Incidence,2717168.0,Related Neighbor,262144,262400,resource-even__channelsense-yes__nlev-two,1004
Total Source Stockpile,6021649.967497443,Related Neighbor,262144,262400,resource-even__channelsense-yes__nlev-two,1004
Resource Transfer Rate,1.4795262944277766e-05,Related Neighbor,262144,262400,resource-even__channelsense-yes__nlev-two,1004
Mean Source Stockpile,2.2161493023241268,Related Neighbor,262144,262400,resource-even__channelsense-yes__nlev-two,1004
Resource Transfer Ratio,6.676068329230063e-06,Related Neighbor,262144,262400,resource-even__channelsense-yes__nlev-two,1004
Relationship Frequency,0.7370789930555556,Related Neighbor,262144,262400,resource-even__channelsense-yes__nlev-two,1004
Total Resource Shared,25.387999504567233,Channelmate 1,262144,262400,resource-even__channelsense-yes__nlev-two,1004
Relationship Incidence,1034048.0,Channelmate 1,262144,262400,resource-even__channelsense-yes__nlev-two,1004
Total Source Stockpile,2321864.558680485,Channelmate 1,262144,262400,resource-even__channelsense-yes__nlev-two,1004
Resource Transfer Rate,2.455205126315919e-05,Channelmate 1,262144,262400,resource-even__channelsense-yes__nlev-two,1004
Mean Source Stockpile,2.2454127455209862,Channelmate 1,262144,262400,resource-even__channelsense-yes__nlev-two,1004
