Measure,Value,Relationship,First Update,Last Update,Treatment,Seed
Total Resource Shared,22.642105050760357,Non-nuclear Channelmate 1,262144,262400,resource-even__channelsense-yes__nlev-two,1004
Relationship Incidence,688912.0,Non-nuclear Channelmate 1,262144,262400,resource-even__channelsense-yes__nlev-two,1004
Total Source Stockpile,1503686.287335496,Non-nuclear Channelmate 1,262144,262400,resource-even__channelsense-yes__nlev-two,1004
Resource Transfer Rate,3.286646923084567e-05,Non-nuclear Channelmate 1,262144,262400,resource-even__channelsense-yes__nlev-two,1004
Mean Source Stockpile,2.1826971911296305,Non-nuclear Channelmate 1,262144,262400,resource-even__channelsense-yes__nlev-two,1004
Resource Transfer Ratio,1.505750521757181e-05,Non-nuclear Channelmate 1,262144,262400,resource-even__channelsense-yes__nlev-two,1004
Relationship Frequency,0.18687934027777778,Non-nuclear Channelmate 1,262144,262400,resource-even__channelsense-yes__nlev-two,1004
Total Resource Shared,6.008970159919691,Unrelated Neighbor,262144,262400,resource-even__channelsense-yes__nlev-two,1004
Relationship Incidence,969232.0,Unrelated Neighbor,262144,262400,resource-even__channelsense-yes__nlev-two,1004
Total Source Stockpile,487241.38033937395,Unrelated Neighbor,262144,262400,resource-even__channelsense-yes__nlev-two,1004
Resource Transfer Rate,6.1997232447130215e-06,Unrelated Neighbor,262144,262400,resource-even__channelsense-yes__nlev-two,1004
Mean Source Stockpile,0.5027087223073258,Unrelated Neighbor,262144,262400,resource-even__channelsense-yes__nlev-two,1004
Resource Transfer Ratio,1.233248302968817e-05,Unrelated Neighbor,262144,262400,resource-even__channelsense-yes__nlev-two,1004
Relationship Frequency,0.2629210069444444,Unrelated Neighbor,262144,262400,resource-even__channelsense-yes__nlev-two,1004
Total Resource Shared,7.974384417303427,Non-nuclear Channelmate 0,262144,262400,resource-even__channelsense-yes__nlev-two,1004
Relationship Incidence,410576.0,Non-nuclear Channelmate 0,262144,262400,resource-even__channelsense-yes__nlev-two,1004
Total Source Stockpile,1014761.9334541258,Non-nuclear Channelmate 0,262144,262400,resource-even__channelsense-yes__nlev-two,1004
Resource Transfer Rate,1.9422431942693745e-05,Non-nuclear Channelmate 0,262144,262400,resource-even__channelsense-yes__nlev-two,1004
Mean Source Stockpile,2.4715568699927073,Non-nuclear Channelmate 0,262144,262400,resource-even__channelsense-yes__nlev-two,1004
Resource Transfer Ratio,7.858317787811467e-06,Non-nuclear Channelmate 0,262144,262400,resource-even__channelsense-yes__nlev-two,1004
Relationship Frequency,0.11137586805555555,Non-nuclear Channelmate 0,262144,262400,resource-even__channelsense-yes__nlev-two,1004
Total Resource Shared,3.455714930584437,Parent Channelmate 0,262144,262400,resource-even__channelsense-yes__nlev-two,1004
Relationship Incidence,534512.0,Parent Channelmate 0,262144,262400,resource-even__channelsense-yes__nlev-two,1004
Total Source Stockpile,1071048.7372331372,Parent Channelmate 0,262144,262400,resource-even__channelsense-yes__nlev-two,1004
